GeneSymbol	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII	SONdmso1	SONdmso2	SONpt2399-1	SONpt2399-2
NSUN2	9.7067	7.6458	9.80545	4.18823621801e-10	1.28907336747e-13	0.437415361335	188.192	54.7226	92.3165	213.329
NSUN5	7.2991	4.3201	3.74365	6.60061124338e-15	0.00284120377635	1.09484410407e-26	472.26	465.142	332.673	429.55
PICALM	46.0923	58.4056	62.9226	2.76774804986e-13	0.00413807285983	2.51038390312e-14	93.2063	119.455	18.3521	50.3848
ERGIC1	30.5619	15.7908	31.1451	1.10287685829e-14	9.86527792563e-17	0.745028771667	595.608	552.008	443.119	463.585
SRSF11	15.7233	12.86555	15.76985	2.73866223516e-05	1.00506127078e-06	0.236021795296	1.00102	1.00102	1.11225	1.00102
CALM1	51.5152	73.02885	59.9514	7.34313888767e-16	5.9239241694e-05	3.84104639961e-05	107.109	119.789	67.1797	143.146
APPL2	7.6261	10.07365	10.6598	1.31398857683e-06	0.000982384027996	5.23023611999e-15	283.178	156.938	251.924	281.732
BRD9	4.4204	2.4604	3.43425	1.39010932862e-23	4.67449420777e-13	5.93698771294e-13	1007.47	1016.71	870.0	956.421
DNAJA3	9.2889	10.63665	7.8061	0.0808973911833	2.1944097033e-07	0.001435568419	1056.52	1066.31	970.436	1038.62
LYAR	6.242	2.92245	4.9945	4.26816760362e-20	5.42663475376e-20	1.77148506448e-07	316.212	279.619	290.408	289.295
SRSF1	8.0735	8.68015	9.29735	0.167934081951	0.0131056290514	1.93754286891e-05	303.087	308.426	274.725	360.924
CHD1L	0.0685	0.02435	0.0783	3.88385935901e-09	5.97556953983e-07	0.593019398959	316.101	265.716	206.322	269.275
RAPH1	0.2007	0.6959	0.7304	9.01846250336e-45	0.074712883408	3.32403311773e-31	10.3439	46.1583	33.145	5.67246
TIPARP	7.8738	7.8069	11.3144	0.0863927943405	0.00735177377961	0.0892080665372	1.00102	1.00102	14.9041	107.666
MYO1E	8.7826	11.2368	10.5867	6.63514907309e-06	0.420902777024	5.45424278398e-05	197.646	65.1777	108.778	121.569
MYO1C	46.2802	39.77085	43.6395	0.000537235291213	0.127001245853	0.0171458525346	1312.34	1133.38	1264.4	1271.3
MYO1B	11.1793	13.5987	18.6278	0.0585953634208	6.60002628021e-06	8.69449122623e-12	15.0153	45.4909	2.11327	11.901
CTPS1	2.0137	1.73125	1.8825	0.00146403555636	0.00955128286459	0.552729801717	557.792	508.186	438.003	497.063
NUBP2	12.6141	6.4253	5.7622	2.27816112616e-13	0.000738458373225	3.27314511288e-23	2257.08	1949.88	1911.51	2363.64
SRF	14.944	12.77595	14.7773	0.662131478952	0.931198747072	0.452749625721	894.803	850.869	709.725	730.524
SRM	35.3991	12.3547	14.5474	4.93142196068e-20	0.021507442723	1.77692074022e-26	917.27	866.552	897.583	1054.97
FAM220A	7.2609	6.28325	7.0344	4.00455981185e-06	1.52970464334e-06	0.861801185038	454.687	511.3	472.927	451.35
LGALS3	115.6561	49.41175	63.87775	0.000354746243048	0.000641795210904	0.00438219700879	182.52	128.798	143.035	89.2022
LGALS1	409.9763	54.47555	147.24165	2.76440197053e-18	5.70466813156e-13	2.54305949438e-18	1614.98	1523.67	1268.3	1514.99
AVPI1	7.3342	11.7885	4.82645	5.92577155411e-06	2.55675500698e-19	3.87870136413e-06	610.179	441.562	436.779	488.276
TRNT1	1.8241	3.4918	1.91665	1.70296388709e-23	7.26087653238e-11	0.0477695542336	1.00102	1.00102	1.00102	1.00102
ASAP1	6.6623	4.2752	11.865	9.41502888252e-12	3.55061592487e-34	3.50007606988e-24	85.3093	117.898	141.367	76.5226
PLAUR	5.9526	1.613	3.108	1.62642497882e-07	0.00021562737606	3.53004643287e-05	733.638	637.54	555.123	688.815
HILPDA	86.9113	2.1101	78.8703	1.8714372723e-19	2.2358277286e-20	0.0589647347321	741.201	591.048	743.982	768.563
LPCAT1	46.0797	7.47945	34.8348	1.15986172126e-18	1.09037732975e-20	0.000125956499666	1017.59	851.87	650.22	812.052
SERBP1	30.4376	36.35255	36.17555	1.72762012004e-07	0.537021569997	9.31594532761e-09	4.44899	64.0654	67.6246	33.7011
SRRM2	41.0823	34.46305	49.7519	1.08780190132e-05	2.8945129555e-11	0.213982597674	1827.31	1683.39	1450.15	1606.53
SLC39A10	5.3158	6.8555	7.9304	0.000532567474105	0.000136769798437	1.16552309337e-13	1.00102	1.00102	1.00102	1.00102
SLC39A14	37.2025	14.23235	43.0779	2.61512227816e-08	1.51514928139e-08	0.170334745276	391.4	376.384	315.656	418.539
EIF1AX	15.9703	20.7778	19.41235	0.00146142577179	0.863510459828	0.000901170686684	13.2357	16.4613	30.9205	36.7042
ARHGAP29	7.4289	10.9401	12.5782	6.35496285453e-07	0.0130699852073	1.83729449776e-15	267.162	114.117	149.264	248.476
DDIT4	64.3815	11.4585	48.698	3.7022001916e-17	3.87446088399e-15	0.00174376133078	1096.01	991.791	497.731	609.734
NKRF	2.7266	2.77935	2.5821	0.825039679604	0.000763437399287	0.00571915890505	116.007	107.554	122.681	121.124
BMP4	2.987	4.4993	3.31555	0.365859858448	0.758950968325	0.226776589618	1.00102	1.00102	1.00102	1.00102
FOXM1	1.6257	0.27635	1.2403	0.000120551446973	7.48336082376e-10	0.0125662590969	738.421	646.772	627.752	776.126
RASSF4	26.1424	6.54945	18.54545	6.01355571398e-21	4.93767689237e-18	1.08253253211e-07	196.089	185.856	163.5	110.557
RASSF7	27.9319	14.01505	10.0349	4.26664696229e-12	9.48138755667e-05	3.80412373105e-23	1617.87	1536.9	1459.71	1589.62
CHD3	9.7459	21.01375	11.65125	5.29908956568e-25	1.25880603902e-21	0.128118974145	1108.13	1065.31	885.46	1040.51
CHD7	1.154	1.65215	1.54255	1.610445311e-06	0.607572380222	9.86678646687e-08	1.00102	1.00102	1.00102	7.34083
CAP1	95.4662	83.5429	100.0567	0.00233495819282	1.31996346169e-05	0.139134284748	629.865	507.63	446.234	648.885
GALK1	14.1642	9.5466	5.70795	1.61576334142e-05	7.85828049392e-14	2.35631634696e-22	1819.75	1657.25	1485.41	1631.89
STC1	42.7398	41.71335	61.6372	0.720825337483	0.00246600500464	0.00174555720254	50.3848	46.1583	23.8021	61.5073
PRDM15	0.6907	0.5143	0.69515	3.49993448488e-08	8.87015737846e-13	0.111889066679	496.396	346.02	328.002	489.5
MPI	11.154	5.2813	9.07005	6.73990997672e-22	8.79813016998e-16	5.31772994787e-08	640.988	617.965	592.605	633.758
POLRMT	11.5953	8.00685	6.60485	2.54146638932e-14	6.08138955968e-05	2.73539949367e-28	2052.76	1953.77	1908.84	2158.2
GRPEL1	12.6806	14.598	10.8014	0.0464631401626	3.01984785664e-12	5.0066989156e-06	455.465	354.807	373.937	305.201
SRD5A3	3.5018	1.52185	2.58455	2.68327015765e-23	6.81048469413e-10	7.39857997148e-10	1.55715	1.00102	13.0133	1.66837
HELLS	0.7612	0.6044	0.80415	0.0114457631716	0.0416913067506	0.407544411343	2.22449	1.00102	17.4623	29.0296
ZFP36L1	71.0933	90.7627	79.56245	0.00230628658892	0.0891605659331	0.11804143697	354.251	379.387	328.891	366.819
ZFP36L2	16.9335	35.81275	28.7796	6.01627987144e-30	1.32945320034e-07	6.14738464073e-20	311.652	251.702	232.905	311.095
C15orf48	1.1101	0.3969	0.69365	1.03412550246e-05	6.04613573151e-05	0.000101658687362	71.9624	110.001	100.992	124.572
SPRYD3	21.8226	27.4534	20.95985	4.02480343734e-06	6.38485355973e-15	0.0258076589645	1155.29	1088.89	1021.04	1114.69
MLH3	2.9783	3.26335	3.7419	0.829127193006	0.000144520467745	1.28337468777e-05	285.736	219.446	212.55	123.793
SH2B2	4.4506	1.13085	1.9543	1.44492726297e-25	5.29480567238e-07	1.75909662721e-21	1075.54	1023.16	952.973	1100.01
SH2B3	12.7975	6.6411	20.33405	3.82361146189e-12	1.69063889282e-31	9.74435220135e-18	700.382	681.696	614.628	561.351
IL6ST	29.7159	40.14665	49.0776	1.54016222379e-13	0.000411835060194	8.87483910043e-23	12.3459	36.7042	84.3083	9.56532
AAED1	8.1165	4.5606	8.7472	1.88209686198e-18	4.07164041649e-24	0.0857445119207	165.057	169.506	116.675	223.45
AKAP1	10.3378	16.58685	11.57115	3.11739309208e-22	8.58085603571e-08	0.000152311500687	239.912	228.011	155.492	124.905
PHPT1	75.6336	25.50775	30.4449	4.09660588428e-20	0.0231860821951	1.19341137293e-26	3311.94	2969.7	2524.69	3083.15
KLHL36	8.1044	7.48125	10.49385	0.0149191692995	7.47886051615e-09	2.82283872042e-05	699.715	578.813	567.802	669.684
RRP1B	5.8388	5.31615	6.41835	0.0117251517093	1.20870587575e-10	0.0856198198297	822.618	835.075	811.94	898.584
ALPK3	3.2088	5.30375	7.42265	0.288298078075	0.00011104491609	0.0224992414785	351.359	298.861	311.318	303.31
UCK2	2.5591	1.8129	2.2803	1.83553891487e-08	9.33858708657e-05	0.00518728356223	66.846	90.7594	34.0348	1.00102
MAP3K8	3.2209	1.83165	2.96975	5.74858010274e-11	3.67277617946e-06	0.686092713707	271.5	260.043	214.997	233.349
DNAJC2	3.4174	2.5549	3.10965	5.20153029187e-09	2.18024488967e-07	0.323263721524	112.337	48.3828	56.1685	128.02
RRP12	3.888	2.78185	2.7515	8.89701430632e-09	0.430812831121	6.00694474565e-09	800.818	669.906	807.158	851.314
RRP15	2.3383	2.9276	3.23595	9.13613115732e-07	0.00111479976137	1.73412016844e-16	1.00102	1.00102	1.00102	1.00102
IPO13	9.0858	16.6992	7.0845	1.99413346827e-25	3.46358051081e-46	4.14499279089e-09	1614.76	1448.03	1164.75	1365.73
HAUS6	2.3291	1.81705	2.98025	3.41507514057e-06	8.69277232309e-15	8.46536350088e-06	58.2818	30.4756	91.6492	52.0532
P2RY6	2.2275	1.0857	1.24065	4.66405058364e-08	0.0139773440218	4.65910825491e-06	982.003	894.135	733.749	856.097
TOMM34	20.503	25.4024	15.94365	0.00574343155002	6.9000683962e-33	4.22590328536e-09	598.389	559.46	403.523	536.214
RND3	11.5418	8.87495	12.2835	0.00398537850976	0.00165893645264	0.986028623585	1.00102	1.00102	1.00102	1.00102
NCL	52.2556	54.68715	55.1052	0.669934418831	0.587278699732	0.329811824218	540.441	481.047	460.804	558.237
LIF	7.5101	2.3446	4.4963	0.0862881927297	0.877304140141	0.0169735021301	1635.89	1394.87	1358.05	1374.85
GPATCH4	4.4856	6.1317	4.83335	0.000706168888603	0.000254821813712	0.631505929682	1099.01	1026.6	966.098	953.085
DAAM1	1.3231	3.5803	2.1417	2.14255162905e-40	9.72801804407e-14	1.53312240365e-12	1.00102	5.11634	31.0317	1.00102
SAP30	17.2488	2.6227	13.95145	1.27852486605e-35	4.52757030521e-26	0.000856282906647	1.00102	1.00102	1.00102	1.00102
GNAI3	10.2164	10.79445	12.4776	0.103485981149	0.000374927674758	4.93842894044e-08	774.791	743.426	582.818	566.134
ATP6V0A2	1.0477	1.23085	1.3039	0.0115679895742	0.00463805775069	4.50286217405e-08	697.045	588.267	603.839	679.249
BRIP1	0.295	0.0769	0.3239	5.52021685838e-10	1.27717618762e-11	0.523328616534	325.221	162.722	267.829	144.703
DOT1L	2.1822	1.59995	1.82325	1.68962469621e-06	0.00440905620549	0.000437417407258	2219.04	1911.4	1837.65	1978.58
PATL1	12.8002	12.2673	15.26595	0.581505412654	8.69747697512e-10	7.99256701488e-10	193.086	131.579	52.3868	60.395
ENO1	669.1606	340.4131	495.9785	2.51013059595e-12	0.000631241569843	1.72934540302e-08	1041.62	868.331	809.049	1004.8
ENO2	60.8393	4.4514	42.49115	4.96536931745e-20	4.40677514368e-23	6.35126976403e-06	1694.29	1394.42	1251.39	1566.04
TANC2	1.6064	2.17955	2.49445	0.016702909968	0.0112561597603	5.46426185225e-07	247.697	263.269	160.942	356.698
DDX21	12.0102	17.8381	22.07035	2.86821604816e-11	5.85027772763e-06	1.11328770372e-28	356.364	296.08	202.095	238.243
DDX28	5.7908	6.80295	4.60085	0.501130439718	4.48459787037e-09	1.89683906936e-05	1106.35	887.128	899.474	1095.01
SPEN	5.2473	6.92725	8.6014	8.51814822641e-07	1.45622539491e-05	6.55812120952e-21	898.807	722.071	591.938	759.22
STAT6	43.6795	28.60135	39.51485	3.71087719186e-15	2.15560344207e-11	0.00196414082245	1553.7	1421.01	1172.2	1239.49
TIMM8A	1.8297	2.40895	2.0425	0.0192201006509	0.239975897998	0.16394327503	1.22347	59.7277	23.8021	4.89389
NT5E	6.0376	6.29775	9.89005	0.490512185432	0.000129434278322	0.00189230014547	8.67553	4.11531	1.00102	1.00102
CCP110	1.6213	1.93295	2.9122	9.73264642868e-05	2.79619256782e-12	1.42946141217e-30	316.101	227.01	281.955	153.379
GNAS	113.9874	76.5301	63.65025	1.91163230176e-08	0.00393660269915	1.1069083749e-16	473.261	352.137	408.417	418.316
KRT7	1.3106	22.59395	0.86585	0.000454728951843	8.28517009672e-07	0.625519200098	773.679	733.972	724.184	786.692
EPB41L5	2.4501	12.57635	4.54295	3.26448003334e-105	1.28690866926e-53	1.80783860336e-20	7.6745	77.19	48.8276	28.2511
VPS4A	14.8222	9.90335	8.3642	2.11056303449e-12	3.25638610955e-09	6.94275623562e-26	851.203	704.72	632.535	706.611
SLC43A3	5.6215	1.414	3.8014	3.93997154274e-09	4.31473783676e-15	4.30839861709e-05	466.588	455.688	410.086	390.176
RIPK4	9.0477	10.47675	10.24125	0.0275021652689	0.79492155078	0.0527486999891	634.537	498.064	403.078	494.505
GPRIN1	1.3783	0.2367	0.913	1.37744725814e-13	1.59725853121e-12	0.000134884804666	647.55	679.805	605.952	680.139
SPTBN1	25.8668	48.9126	52.58235	8.68531576999e-34	0.388118982673	8.13345196875e-39	290.074	170.285	202.763	238.688
TFAP2A	0.2292	2.24575	0.0616	1.36125603991e-08	2.28863001898e-21	0.135178588764	1.00102	1.00102	1.00102	1.00102
PCNA	46.5264	35.7109	38.2394	1.77133684177e-05	0.463492444717	1.30854267574e-05	309.316	262.824	161.721	225.119
ZMYND8	7.7185	7.27795	6.61035	0.0655593638787	0.0163751980516	0.000391975475134	774.791	684.699	622.413	724.295
TOP3A	3.5088	2.9344	3.7385	3.55592122715e-06	1.93797429187e-14	0.613095775294	725.296	701.717	592.716	761.0
ILF3	21.504	18.12055	21.32205	4.02384104369e-07	1.89071735394e-06	0.00669717933952	1493.53	1499.64	1315.57	1397.76
ILF2	57.1002	65.20615	51.0	0.0795050969099	2.47855444411e-17	7.00961581501e-07	982.782	898.473	791.03	935.956
FLAD1	8.8624	6.03515	5.028	1.04623101262e-16	1.78291640885e-07	2.61422413612e-33	1519.33	1499.31	1420.34	1430.79
TPX2	4.4521	0.5287	2.7547	4.40275688872e-06	4.12965098326e-09	0.000898763008654	533.545	457.245	381.056	345.575
PHC2	45.5533	30.94465	35.58245	8.45303129676e-15	0.0334998604159	1.83919434953e-12	406.304	485.385	410.197	371.268
ZNF367	1.572	1.8191	2.2151	0.000913643433377	0.363064100419	1.25814069725e-06	312.43	299.083	312.764	175.624
RNF4	10.3691	10.16855	10.84625	0.754777699	0.00213426235404	0.0137583210504	757.885	889.798	766.005	839.413
CLTB	48.1295	29.19475	19.28825	3.44374377262e-14	3.025474893e-21	2.6773478933e-36	536.771	402.967	391.622	635.76
LRRC61	10.4546	6.17485	4.5042	2.16997402711e-08	0.018013945877	2.51397024733e-15	1014.15	1040.84	884.904	1003.36
NMD3	11.9564	12.55315	16.85135	0.956734071132	4.52914775476e-13	3.01099494846e-12	1.00102	1.00102	1.00102	1.00102
GLIPR1	4.1109	1.2442	3.84805	9.38148933325e-12	1.50648021586e-12	0.696875535479	1.00102	1.00102	1.00102	1.00102
FOXP1	0.9641	0.9537	0.7777	0.0203064839695	0.203757424596	0.930189121368	55.946	1.7796	15.1266	13.1245
PDE3B	0.2927	0.9611	0.50415	0.0244190819994	0.872924212814	0.22984875554	1.00102	1.00102	1.00102	1.00102
ZNF592	6.691	7.616	8.8433	0.00057503651255	8.5984088597e-05	1.79789009842e-14	366.152	294.968	251.813	317.213
TYW1	5.2139	5.50225	5.75225	0.513984086217	0.00644835925322	0.000307879882616	394.292	221.226	342.461	266.828
BIRC2	14.225	15.25765	19.70275	0.191010202554	9.46860579684e-10	7.39708022336e-17	65.9563	38.1501	45.6021	7.34083
MAEA	7.8642	7.45575	5.83295	0.0246136062609	2.17335222306e-05	1.94305696575e-09	1168.3	1054.97	847.199	1038.51
RPL19	426.9151	187.9096	215.00925	1.85497929808e-30	0.00252478020008	4.51421838807e-34	1085.66	1050.74	1038.84	1131.04
NLN	2.5346	3.4115	3.3199	2.05246517001e-07	0.377896855594	1.0178237703e-07	10.2327	19.2419	5.56124	46.2695
NFIL3	23.2137	18.55115	21.87455	0.000779868716242	0.000455342953901	0.430359742141	230.235	125.906	113.338	53.0542
TMEM123	64.9731	71.60625	97.76865	0.929817672355	4.16526524635e-07	1.77475669032e-09	100.436	48.1603	119.344	44.045
ZMIZ2	22.0521	10.67685	14.3932	5.731438479e-19	5.96235963987e-07	1.02530373039e-15	1201.45	1248.83	999.131	1111.25
NUFIP1	2.4156	2.5786	2.56005	0.143638550557	0.821444476946	0.0706090766754	12.4572	55.3899	15.5715	61.2848
PELP1	12.5436	8.2369	7.9693	3.43609043862e-12	0.00336873720559	2.37672194634e-22	1034.17	974.662	866.663	947.857
CDC37	67.3915	34.9742	42.9422	7.89641797932e-34	0.000617824717415	2.25383596687e-33	1723.87	1435.69	1443.47	1585.51
BRWD1	2.6705	3.18785	3.82765	1.14509999773e-05	0.00111926090267	6.70805833661e-11	267.384	198.759	213.774	172.51
KIAA0513	1.8721	2.4988	2.27665	0.000267151304835	0.0738500878408	0.0232772598644	779.685	640.209	662.121	681.474
TCFL5	2.5458	4.03505	2.6835	0.00200681299848	5.86763394526e-05	0.896530078484	1546.47	1443.81	1349.04	1646.57
CDCA7L	3.2689	1.409	5.63125	2.65817408236e-05	3.07767191513e-16	0.000130007231935	1.00102	1.00102	1.00102	1.00102
PGLS	27.5062	10.21805	11.1235	7.91619398233e-31	0.0397667139511	2.88750528681e-41	1138.83	1109.36	932.508	1097.12
NHP2	22.077	13.37725	13.9524	1.71554462266e-13	0.879435778812	6.52288670403e-18	852.537	737.531	711.838	867.553
TXNL4A	10.8638	7.59555	6.21465	1.04373539997e-11	0.000669971897247	2.06937670113e-22	217.222	196.2	191.751	198.981
ATP13A3	12.4614	12.6983	18.7525	0.967446691128	6.49376126966e-08	1.13867361672e-11	202.54	82.3063	174.289	194.532
RAI1	3.6513	3.11575	4.3549	0.000829892642189	6.85908806628e-10	0.0311426225708	724.851	530.431	533.545	637.54
E2F4	19.8214	12.08925	13.9833	1.11780441254e-29	2.30187853747e-05	1.66155052998e-24	1805.4	1607.42	1508.32	1729.32
ZNFX1	10.0278	10.48475	13.53555	0.0445308923723	1.11876480765e-08	6.39630370818e-19	960.759	975.218	947.746	916.269
EEF2	697.4583	502.2492	662.96195	7.22481694441e-12	1.11820899576e-07	0.0479502447932	1991.03	2045.76	1890.82	2287.56
URB2	1.3779	1.8228	1.95935	9.84568251813e-05	0.0188489229139	8.62368916894e-09	340.681	186.079	212.773	251.813
URB1	2.0607	2.85215	3.2121	0.00104470908439	0.000308725227137	4.20395800795e-11	18.797	99.991	61.6185	122.347
HPCAL1	49.0548	11.44665	32.73415	7.32436504438e-26	6.39543433292e-17	3.08874928417e-10	477.71	416.537	531.877	482.048
LIPG	0.3792	2.33205	0.61965	0.200316394675	1.00879517286e-12	0.476864864401	185.3	126.907	65.2889	202.54
DFFA	6.2978	8.8896	6.54005	2.36530688691e-18	1.0725795253e-15	0.321376172916	692.707	679.805	680.473	731.08
SEC24A	5.6936	5.62675	9.6899	0.338627812039	8.53919340538e-12	2.38754310353e-17	422.431	361.48	320.661	282.066
TM4SF18	20.6687	12.64315	28.98945	1.06484232908e-07	2.07184422311e-10	0.000189194677973	3.22552	41.9317	1.00102	1.00102
TGM2	62.5507	22.4432	58.88695	6.08904051942e-09	4.11897490272e-07	0.0435169605565	972.215	864.995	805.267	836.299
DBR1	5.4422	5.86785	5.99135	0.00253421161544	0.375552803656	3.22726421569e-05	46.1582	1.00102	7.00716	3.89286
UNC93B1	13.3329	6.06625	8.06235	6.22324091803e-26	1.63398627616e-05	1.03682327189e-17	1333.36	1056.08	943.742	1116.7
LAMB3	3.7274	3.88475	2.1161	0.204021660451	0.329156346468	0.0332007881109	373.937	284.624	273.502	307.87
ATP7B	0.8319	0.9929	1.29255	0.978727320197	1.44047739091e-08	8.81545416812e-10	1.3347	1.00102	3.33674	41.3756
NEK6	24.8205	8.81245	40.79035	4.98648259137e-25	5.30961660539e-31	7.06485563509e-12	610.179	631.423	472.594	477.488
SHB	3.6234	3.30285	2.2295	0.0341173361834	1.65715463432e-08	9.02274504345e-12	261.712	182.742	208.101	255.594
MTHFD1	4.783	6.89485	5.95455	4.91298641739e-13	4.02300030048e-07	0.00618575328235	131.023	143.035	125.239	181.408
NUDCD3	13.3125	10.7081	12.5777	9.16905551104e-11	2.37651265626e-07	0.0167970834893	704.72	607.176	665.68	678.36
NUDCD1	1.4397	1.87485	1.8787	0.0142371027647	0.250502525376	0.000224860971312	1.00102	1.00102	1.00102	1.00102
GPT2	4.0263	6.5298	2.31645	0.000507054593066	1.42529391955e-07	0.00212767163701	331.338	287.85	220.114	374.939
GMNN	4.9438	7.2861	4.7894	2.18950044445e-13	2.52991697459e-14	0.095117848527	52.4981	6.33981	1.00102	55.8348
ECE1	32.1187	22.2992	29.2605	8.85770915842e-07	2.41835832335e-05	0.0999305421512	1079.77	955.976	911.598	995.906
TXLNG	4.04	4.61265	6.5746	0.00153834714281	1.25256966718e-12	3.04543741981e-26	45.4909	74.0757	109.223	37.9276
CDC42EP1	36.0151	19.02925	23.7413	1.61075437506e-12	0.105353472055	7.31370845298e-12	1717.98	1422.45	1204.01	1335.48
CDC42EP4	11.0376	14.42575	12.4283	7.2080643512e-06	0.00710042655141	0.0577545071901	545.891	440.45	435.0	547.67
PITPNC1	7.1044	3.9152	8.1565	4.86947290714e-12	4.01006503882e-20	0.13168169337	257.93	148.819	141.367	190.305
CAV1	74.5139	13.5189	74.85195	1.37455639871e-24	1.26087356164e-17	0.116310828856	11.901	79.7481	116.452	89.4247
BRCA2	0.3172	0.09475	0.49845	1.18026898733e-12	1.4388292525e-13	1.20208453135e-08	1.00102	1.00102	1.00102	1.00102
ADCY3	4.1339	2.6082	5.6823	4.77053975366e-07	3.19859209268e-16	1.6819778505e-08	195.199	163.723	268.052	149.041
RAB42	11.0939	0.46685	7.27815	5.86562571209e-10	9.49154933157e-08	0.0206090203749	1105.91	1072.21	853.538	1080.99
FAM208A	6.0503	8.2606	8.3632	1.52520443e-14	0.00250943272509	2.2911189079e-19	55.1675	67.5134	53.7215	79.6369
GSPT1	12.2884	21.37165	16.89	1.90677815542e-32	6.13322572559e-05	9.77924653876e-15	416.092	399.964	278.84	301.085
